City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Ballina,AU,70.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
172,Mecca,SA,85.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
173,Benidorm,ES,76.48,clear sky,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
175,Fengzhen,CN,80.02,clear sky,40.4394,113.1536,Feng Zhen Hotel
177,Mayumba,GA,70.02,overcast clouds,-3.432,10.6554,LIKWALE LODGE
183,Goderich,CA,65.91,clear sky,43.7501,-81.7165,Harmony Inn
184,Kutum,SD,80.13,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
187,Port-Gentil,GA,72.82,broken clouds,-0.7193,8.7815,Fengshui Residence
188,Natal,BR,73.62,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
189,Haines Junction,CA,77.22,scattered clouds,60.7522,-137.5108,Parkside Inn
191,Suluq,LY,77.59,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
192,Faanui,PF,79.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
193,Mathbaria,BD,82.62,overcast clouds,22.2876,89.9593,Shikdar Hotel
194,Lisa,RO,66.31,broken clouds,43.8,25.1333,scarlat cottages
196,Huron,US,71.04,scattered clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
197,Saint-Philippe,RE,66.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
198,Mayo,US,80.55,light rain,38.8876,-76.5119,Resorts Resource Group International
199,Yanam,IN,80.53,overcast clouds,16.7333,82.2167,The Regency Hotel
200,Kathu,TH,84.02,broken clouds,7.9178,98.3332,Novotel Phuket Resort
203,Shimoda,JP,83.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
204,Olinda,BR,75.94,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
205,Termiz,UZ,73.49,clear sky,37.2242,67.2783,Hotel Ulugbek
206,Alyangula,AU,73.92,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
207,Ponta Delgada,PT,68.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
208,Sao Filipe,CV,75.04,overcast clouds,14.8961,-24.4956,Hotel Xaguate
209,Coyotepec,MX,65.32,overcast clouds,19.775,-99.2072,2 Fridas
212,Kapit,MY,87.3,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
213,Itarema,BR,77.94,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
214,Lompoc,US,74.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
215,Ribeira Grande,PT,66.18,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
220,Labuhan,ID,80.1,broken clouds,-6.8844,112.2051,DoubleFAG
221,Guanajuato,MX,65.19,clear sky,21.0186,-101.2591,Hotel Posada Santa Fe
222,Presidencia Roque Saenz Pena,AR,69.26,overcast clouds,-26.7852,-60.4388,Hotel Gualok
223,Okha,RU,77.0,broken clouds,53.5739,142.9478,Sakhalin-Sfera
225,Poso,ID,81.07,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
226,Hasaki,JP,73.8,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
227,Mnogovershinnyy,RU,83.91,broken clouds,53.9353,139.9242,Obshchezhitiye 14
228,Vieques,PR,80.11,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
230,Hamilton,US,76.32,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
233,Arlit,NE,89.08,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
234,Acapulco,MX,80.73,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
235,Dromolaxia,CY,78.98,scattered clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
236,Les Cayes,HT,77.63,clear sky,18.2,-73.75,Villa Orphee
238,Carbonia,IT,75.0,scattered clouds,39.1672,8.5222,Lu 'Hotel
239,Carutapera,BR,73.31,few clouds,-1.195,-46.02,Lidera
240,Rosarito,MX,76.62,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
241,Manta,EC,69.58,broken clouds,-0.95,-80.7333,Balandra Hotel
242,Luanda,AO,65.97,clear sky,-8.8368,13.2343,EPIC SANA Luanda
244,Pampa,US,79.2,light intensity drizzle,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
248,Lock Haven,US,74.91,few clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
